Review_Date,Author,Rating,Review_Title,Review,Review_Url
24-Nov-23,adamneale-73636,8," 2 hours 38 minutes is not enough for this story!
","This is an incredibly ambitious film, telling the story of Napoleon Bonaparte from the French Revolution through to his rise to Emperor, The Battle of Austerlitz, the Russia campaign, Waterloo and his final exile, all while dedicating many scenes to Napoleon's relationship with Josephine.",/review/rw9450470/?ref_=tt_urv
23-Nov-23,strunckjl,6," Save your money on this one
","Like many on here, I was thrilled with the trailer and couldn't wait for this movie to hit the theaters.",/review/rw9450470/?ref_=tt_urv
26-Nov-23,dhunjiwadia,5," Ridley Scott's Napoleon is more hysterical than historical.
",Ridley Scott's Napoleon is more hysterical than historical. History is like an uninvited guest in this movie. Stunning battle visuals don't make up for gross historical approximations.,/review/rw9450470/?ref_=tt_urv
27-Nov-23,nicula-eduard-andrei,6," A shallow representation
","When i first heard about Ridley Scott making a Napoleon movie with Joaquin Phoenix as lead actor, i was very excited. Little that i knew that this movie would not match the expectations set. First of all i would like to state that i didn't expect an historically accurate movie given the fact that it is not Ridley Scott strongest suite (see Kingdom of Heaven). There is a small measure of truth in all of his movies but they are not built as a documentary and they are not intended to be one. Nevertheless, this movie doesn't even come close to the vibe given by Kingdom of Heaven or other historical movies, from an historical point of view. I always look for a particular type of energy in movies, especially in historical ones but Napoleon in my opinion fails to deliver. This movie tries to much to contain all peculiarities of Napoleon's life but fails miserably. We see all and nothing. The feeling that i got was that we saw a fast forward version of his life but without any soul or essence. Even the battle scenes seemed dull and without soul. I think Ridley set the bar too high through his previous movies for this part. Regarding Joaquin's performance, there is not much to say. I think his interpretation was similar to a performance you would see in a stage theater. I don't know why but at some points in the movie, it felt like a low budget movie with very poor writing and very poor dialogue. I will wait for the extended version to see if my opinion changes for the best.",/review/rw9450470/?ref_=tt_urv
25-Mar-24,garrywt,6," Should have been a 10 part series
",There's so much available content to tell this story. Why the hell was it a 2.5 hour film rather than the multi part limited series it deserves to be? The film has over 20 years of history to cover but includes so many huge time skips that you can't help feeling that you're missing out on a huge amount. This should have been a series and given the writers and the actors the time they deserved to tell the story properly but instead we get something that seems rushed and has huge gaps in time where things are shunted forward just se we can reach the end of the story before time runs out. The acting is above par (Despite Phoenix mumbling through some scenes) and the action sequences are excellent but there is just a feeling that it could have been so much more.,/review/rw9450470/?ref_=tt_urv
1-Dec-23,jmperfetti,6," Looks Epic, does NOT FEEL EPIC
","Most people will agree that this film is visually stunning. The sets, the wardrobe, the battle scenes. All of the imagery is amazingly beautiful.",/review/rw9450470/?ref_=tt_urv
23-Nov-23,Vince_D,7," It was OK but messy - Maybe the 4-hour cut is better?
",I went in wanting and expecting to like it but came out thinking it was a disjointed mess.,/review/rw9450470/?ref_=tt_urv
30-Nov-23,astallabrass,8," Don't be put off by the reviews!
","I put my hands up to say I'm not a historian so whether or not this film misses out on factual detail, I'm not sure. I also didn't see the trailer which a lot of people seemed to get excited as if it were to be a contender to stand next to Gladiator.",/review/rw9450470/?ref_=tt_urv
30-Nov-23,Masami-J,," A film I don't recommend
","Napoleon by Ridley Scott is a film about Napoleon Bonaparte, but it is a very fictional film, many sequences of the film do not correspond to historical reality. I didn't like the film because I would have preferred something much more historically faithful, not an almost fictional work.",/review/rw9450470/?ref_=tt_urv
29-Nov-23,Xstal,6," Nap-oleon...
","A battle in Toulon sets up your rise, as the rebels are soon cannonballed to size, with some help and some removed, promotions are approved, sets your trajectory to take you to the skies; the pyramid of your life is Josephine, while on manoeuvres she's quite progressive and keen, although quite barren for an Empress, and you need an heir for success, but you compensate through a mass killing machine. A spell in exile lets you gather next to water, before you gather once again to kill and slaughter, but no matter what you do, this will be your Waterloo, as all you dreams go down the pan, prisoned by water.",/review/rw9450470/?ref_=tt_urv
25-Nov-23,MissSimonetta,2," My biggest disappointment this year
","Ridley Scott's NAPOLEON feels like the highlight reel of a lengthy miniseries. Considering there's a 4-hour cut of this film, that explains it all.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,Sleepin_Dragon,8," Ignore the negatives, it's an impressive movie.
","The rise and fa of French Emperor Napoleon Bonaparte, who's thirst for power led him to many victories and some significant losses.",/review/rw9450470/?ref_=tt_urv
29-Dec-23,reelreviewsandrecommendations,7," Are You Not Entertained?
","Do films about figures from reality need to be entirely factual? The fractious reaction to Ridley Scott's 'Napoleon' seems to suggest that some, at least, think they do. However, in his book 'Hero: The Life and Legend of Lawrence of Arabia,' Michael Korda posits that criticizing a film- in his case David Lean's epic 'Lawrence of Arabia'- for a lack of historical accuracy ""misses the point (as) the object was to produce, not a faithful docudrama that would educate the audience, but a hit picture.""",/review/rw9450470/?ref_=tt_urv
26-Nov-23,krzysiektom,2," Awful.
","What a disappointment. This film is BORING. A movie with a huge budget, good actors, about a person as fascinating and complex as Bonaparte, who participated in more than 60 battles and had drama, triumphs and failures that would be enough for a few lifetimes, is... BORING! Nothing is well explained, it's unclear who is who beside Napoleon and Josephine. Several unnecessary sex scenes between the two. What's even worse is that it's unclear why the French nation would follow and worship this Napoleon as he's portrayed in this movie, because in this movie he seems a mediocre personality, without much charisma or extraordinary abilities. In addition, everything on the screen looks greyish blue, without vivid colors, and it is a bit depressing. I liked only two elements of this movie: musical score and costumes.",/review/rw9450470/?ref_=tt_urv
22-Jan-24,egruber130,6," Would Have Been Better as a Miniseries
","As usual, Phoenix is very good, but there just seems to be something missing from his character. More importantly, a story of such epic proportions is much better suited as a miniseries (along the lines of HBO's John Adams). In fairness, as other reviewers have mentioned, the Apple TV version was almost 4 hours long, so the theatrical version had to be cut by almost 2 hours. The result leaves the viewer trying to decipher the timeline and fill in missing details as the story leapfrogs huge gaps of time. Napoleon's character is complex and he's shown as brave, scared, sniveling, proud, steadfast and prideful. Without the full story, that odd mixture of traits is a little confusing, despite Phoenix's strengths.",/review/rw9450470/?ref_=tt_urv
10-Dec-23,trevjohns,6," Should have been called Napoleon and Josephine
","This should have been called ""Napoleon and Josephine"" because, frankly, there's too much of Josephine in it, and not nearly enough of the brilliance and personality of Bonaparte. The historical inaccuracies are manifold. I read that director Scott says that ""If you weren't there then you can **** off"". Well I was not there, but the erroneous simplification of one of history's greatest characters shows Scott wasn't there either. The battle scenes are gaining accolades, but even they shouldn't. Wrong and over simplified. If you are going to make a movie about Napoleon, his generalship should have taken centre-stage, not his domestic tussles with the Missus. A grand disappointment. An artilleryman, as Napoleon was, taking part in a cavalry charge? I don't think so! Oh, how I wish Kubrick had carried through to make his version. I give this six stars, mostly for having the courage to take on such a mighty story. Too bad it fell far short of its subject matter.",/review/rw9450470/?ref_=tt_urv
4-Dec-23,Ezpl8yer,6," Just like Napoleon himself, Ridley Scott overreaches
","With every biopic, the question is always: how do you condense a person's life in a 2 or 3 hour motion picture? However, simultaneously, you have to have enough material to make a film out off. With a figure like Napoleon, the balance clearly shifts to having so much material to work with that one cinematic release may not be enough to satisfactorily portray the man's life. While this concern was already there before release, we have seen great movies about bigger-than-life men and women succeed like Gandhi (1982). And with a director like Ridley Scott, you want to give the project the benefit of the doubt. Unfortunately, The movie falls into the trap that has haunted other biopics which is a lack of focus. In other words, instead of elucidating a character's life, we get a collection of highlights about that character's history which doesn't build up to an overall great experience.",/review/rw9450470/?ref_=tt_urv
19-Dec-23,skybiscuits,6," Yeah, nah
",Dog's breakfast of a movie. It was allover the shop. It feels like they only shot half the movie and just stitched it together. Out of all the movies this year this is one of them.,/review/rw9450470/?ref_=tt_urv
24-Nov-23,esyurt,8," Great balance of action and drama.
","The movie consists of a beautiful balance of drama and action. For those who like action you will not be disappointed the war scenes are amazing. I feel as though those giving low ratings are just salty because of the depiction of napoleon I'm not a historian but I would assume they tried to capture his personality as close to reality as they could and this may have offended the frenchies. The only thing negative I can say is that the timeline is excessively shortened in order to fit the movie time limit, it's a shame these historic movies aren't filmed over multiple movies to retain intricate detail.",/review/rw9450470/?ref_=tt_urv
28-Nov-23,vsek,6," Napoleon?
",This should have been Ridley Scott's Lawrence of Arabia or Gandhi. But it wasn't.,/review/rw9450470/?ref_=tt_urv
2-Dec-23,levybob,4," Knew it was Bad. Even so, Surprised at HOW bad.
","I read the reviews of Ridley Scott's 'Napoleon' and knew it was not the great film everyone anticipated. Even so, I went. And what I discovered is that it's bad in the worst kind of way; It is dull. Lifeless. A flat un-involving story about characters who are in every way unlikable. Another reviewer wrote that he / she had trouble staying awake through its 2 hours 40 minutes run-time. When I read that I laughed. Now that I have seen the film, I am laughing no longer.",/review/rw9450470/?ref_=tt_urv
23-Nov-23,groeneveld-39547,8," good movie. ignore the bad reviews!
",In my oppion its a very good movie that they involveld the love letters between Napoleon and Josephine.,/review/rw9450470/?ref_=tt_urv
22-Nov-23,WadoodS,5," Napoleon Deserved Better
","Making a movie on a charismatic person like Napoleon is a huge undertaking. It requires in-depth study of his life and then choosing specific events of his life to show and connecting them to perfection. The film maker is short in time therefore it is important for the movie to be precise, fluent and with a purpose. In this movie, the director, Ridley Scott, fails to determine which points of his life he wishes to portray and consequently it results in a piece-by-piece movie which lacks cinematic flow and confuses the audience.",/review/rw9450470/?ref_=tt_urv
3-Apr-24,frogcilfruit,6," Why bother with actual history...
","...when you can use a famous historical figure for publicity and just make up an alternate story that better fits your views, whims, or ""vision"" ?",/review/rw9450470/?ref_=tt_urv
22-Nov-23,semihseftali,7," They should have named the movie ""Josephine"", not ""Napoleon"".
","The movie tells only one part of Napoleon's story; Crazy Dictator and does everything for his love - which I believe is wrong. In reality, especially at the beginning of his life, Napoleon was a very succesful statesman. During his time many ideas of revolution are settled. Many developments in social and economic life are realized. I could not see these things in the movie. This film can be named ""Josephine"" instead of Napoleon .",/review/rw9450470/?ref_=tt_urv
9-Dec-23,adambarta,6," Hollywood overtaking over quality
","Once I found out that there will be a movie about Napoleon starring Joaquin Phoenix, I got excited. What a great idea? It's one of the most interesting people in history, of course this would make a great movie.",/review/rw9450470/?ref_=tt_urv
10-Jan-24,diponsakib,7," A Triumphant Look at Ridley Scott's ""Napoleon""
","Ridley Scott has once again tackled a titan of history, and with ""Napoleon,"" he delivers a film as epic and intoxicating as its subject. Joaquin Phoenix channels the Corsican whirlwind with electrifying intensity, capturing not just Napoleon's military genius but also his volatile spirit, plagued by ambition and haunted by shadows.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,edgecumbedrake,8," Amazing Cinematography, Sloppy Pacing.
","Another great film by Ridley Scott. The cinematography, sets, and acting all al superb. Joaquin Phoenix, although he might have not been the best casting for a 22 year old. The Battle of Austerlitz really showcases Ridley Scott's amazing eye for shots. But even with all of that, there are some bad things. Around halfway through the film, the pacing really slows down. It is still very much enjoyable, but it could definitely be improved upon. One thing that distracted me from the plot were the scenes between Joaquin Phoenix and Vannessa Kirby's characters, where Napoleon was making animal sounds while trying to impregnate her. Overall, I enjoyed the film. A solid 8/10.",/review/rw9450470/?ref_=tt_urv
21-Dec-23,reeceagland,6," Like Napolean taking Moscow a long slog that starts strong but ultimately fails.
","Joaquin Phoenix is amazing and carries this film like Napolean carried France, but in the end it was not enough.",/review/rw9450470/?ref_=tt_urv
23-Nov-23,LongTimeMovieLover,4," BAD, REALLY BAD, TERRIBLY BAD, AND I WILL EXPLAIN
","First, let me get this out of the way. If you want to watch a focused masterpiece, watch Waterloo with Rod Steiger and Christopher Plummer. It could have only been better (for me) if Steiger had a French accent. Second, if you want to watch a general scoping history of Napoleon, consider the excellent and approachable Napoleon series with Christian Clavier (with a French accent), Isabella Rossallini, John Malkovich and Gerard Depardieu. (Clavier is sometimes unfairly maligned when indeed he does a splendid job in my view.) There are other well-reputed less approachable versions, but these two are excellent.",/review/rw9450470/?ref_=tt_urv
9-Jan-24,brucesarn-36583,8," A King By Another Name
","A Hollywood film tells a story, it entertains. It pads fact with artistic licence. A documentary film tells a factual story, it is not always designed to entertain, but to educate. None of us know anything about the reality of Napoleons life, we surmise, film makers interpret.",/review/rw9450470/?ref_=tt_urv
29-Nov-23,joerg-vogeltanz,," Superficial and one-dimensional
","""Napoleon"" leaves you completely indifferent and emotionally cold. In my opinion, this is the disappointment of the movie year so far. Phoenix is tragically underchallenged and grunts unmotivatedly through the ""plot"" when he's not ramming Josephine like a billy goat or sleeping standing up (I fear that this excellent actor's eyes had actually closed in the face of this direction). Sure, very beautiful images and sceneries, beautiful costumes, you can feel the huge amount of money there. But imho the whole movie is just like a series of expensive reenactments for a embarassingly sloppy researched documentary, only without a documentary in between. There is not a single truly credible interaction between the characters, the ""love story"" between Josephine and Napoleon is completely superficial (not to mention the incomprehensible idea of making the actress playing Josephine appear much younger than Napoleon, while in historical reality she was over 10 years older). Basically, this film is nothing more than a rushed sequence of the ""best of"" stations from Napoleon's life that can be found in any history book (whereby really important stations such as the discovery of the ""Rosetta Stone"" are simply swept under the table), but unfortunately it is soulless and lovelessly realised. Any hint of motivation or drama is nipped in the bud. The admittedly impressive battle scenes (which are also reeled off without any deeper emotion) can't really save the day. And then the announcement that there will be an ""in-depth lesson"", so to speak, via streaming service... I see that as a pure rip-off and a major weakness of a director as originally excellent as Ridley Scott.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,javier_arriagada94,6," Disappointing/Misleading
","When you see the trailer for this movie you get really high expectations, but then you watch it...",/review/rw9450470/?ref_=tt_urv
23-Nov-23,itsahoverboard,5," ""I don't know what to do."" - Joaquin Phoenix, ten days before start Napoleon production
","Yes, that's a real quote from Joaquin Phoenix to Ridley Scott right before they started filming. I love Joaquin Phoenix, but you can really tell that he doesn't ""get"" the character of Napoleon that he's trying to play. I honestly don't know if Phoenix even has that kind of charisma and confidence within him, but then again I don't know anything about Napoleon either. But it was just uncomfortable watching him stumble his way through the movie, often just looking clueless.",/review/rw9450470/?ref_=tt_urv
7-Dec-23,SnoopyStyle,7," epic Ridley Scott biopic
",It's 1793. Army officer Napoleon Bonaparte (Joaquin Phoenix) watches Queen Marie Antoinette's execution by guillotine. The port of Toulon is under blockage by the British and Napoleon leads the campaign to liberate it. Revolutionary leader Maximilien Robespierre is deposed and executed for his Reign of Terror. Napoleon leads the troupes to suppress the royalists. He meets aristocratic widow Joséphine de Beauharnais (Vanessa Kirby).,/review/rw9450470/?ref_=tt_urv
10-Jan-24,anthonydesmondolivier,7," Better than the reviews
","I am fascinated with both the French Revolution and the rise of Napoleon, and have dedicated more hours than I should to understand this history.",/review/rw9450470/?ref_=tt_urv
11-Dec-23,apereztenessa-1,7," Innovative in its way to depict a historic legend
","Napoleon has been a surprise hit, and how much ink has been spent on the film may be one reason for its success. Rarely in recent history has a film been so widely criticized for its historical inaccuracies. We didn't hear that kind of backlash for The Crown or Bridgerton, so why such disappointment in historic representation in this specific case?",/review/rw9450470/?ref_=tt_urv
12-Dec-23,sue-06239,7," Went reluctantly but I enjoyed it
",I went to see this despite not really fancying it but my husband was desperate to see it. I came away having enjoyed it much more than expected.,/review/rw9450470/?ref_=tt_urv
22-Nov-23,albertalvarez2k,8," Exceptional period piece.
","Although not Shakespearean, nor is there much French tongue, this movie delivers a convincing portrayal of European aristocracy of the 1790s and early 1800s. Gorgeously fathomed costumes, grand architecture and brutal battle scenes where if you blink you might miss a startling effect. There is also some slomo battle sequences which are welcomed as well. Well paced movie for entertainment value. Its not a deep dive into the ins and outs of European politics of the late 18th century, but a well rounded portrayal of the reign of Napoleon. Like a greatest hits album of his reign. The famous battle of Waterloo is also portrayed, having the most on screen battalions in formation I can think of. More so than the battles in the Gettysburg movie. But not as many cannon. Gettysburg has an awesome cannonade sequence that is the best put to film yet. Like 2 minutes straight of cannon firing. I love it. But, yes, the battles in Napoleon deliver striking effects and large processions of armies slaughtering each other with musket and bayonet.",/review/rw9450470/?ref_=tt_urv
1-Apr-24,david-meldrum,6," Agreeably Undemanding Historical Epic
","Ridley Scott's Napoleon biopic is an agreeable Easter Day afternoon watch; an engaging blend of high camp, bloody spectacle, and pretension puncturing humour. Phoenix is well cast for this take on Napoleon; whilst his Emperor lacks a sort of predatory danger that the script hints at, his performances lances pomposity and is devoid of po-faced seriousness. Vanessa Kirby is the one who really shines as Josephine, however; every minute she's not on screen feels a little less than it could be.",/review/rw9450470/?ref_=tt_urv
23-Nov-23,nlcckc,2," Well that was painful
","So here is a film about one of the greatest warlords of history, and what do you suppose it emphasizes? If your guess is the yucky ""relationship"" he had with Josephine, you're not far from the truth.",/review/rw9450470/?ref_=tt_urv
22-Nov-23,housermichael,9," Another Great Ridley Scott Film
","I have been a huge fan of Ridley Scott as a director for a long time, since I saw ""Alien"" back in 1979. Since then he has directed several great movies such as ""Blade Runner"", ""Legend"", ""Someone to Watch over me"", ""Black Rain"", ""Thelma and Louise"", ""Gladiator"", ""Black Hawk Down"", and ""The Martian"".",/review/rw9450470/?ref_=tt_urv
28-Apr-24,boutzarelis,6," More is less. It should have been 2 movies
","More like a montage of fast paced stories throughout the life of Napoleon rather than a biography movie of the person. Allways too obsessed with Josephine and with little to no coherence at all between scenes. It takes you from Paris to Egypt and back in less than five minutes and three scenes. It doesn't explain any of his action and we almost never see the immediate consequences of them, it just changes scene upon scene with nothing connecting them other than years passed. Phoenix acts good but and the visuals are excellent but it comes out too shallow and rushed and empty. I guess a director's cut with about 2 hours more material (that will double the length of the movie) is the only thing that will fix it.",/review/rw9450470/?ref_=tt_urv
25-Nov-23,malmevik77,2," What's the French word for crap?
",Napoleon,/review/rw9450470/?ref_=tt_urv
19-Jan-24,exceladeogun,6," Feels like a teaser for something grand
",Napoleon,/review/rw9450470/?ref_=tt_urv
10-Mar-24,stevelivesey-37183,7," Not perfect but very entertaining.
",There is quite the mixed bag here. It really should be called Napoleon and Josephine as this the main plot point in the movie.,/review/rw9450470/?ref_=tt_urv
10-Dec-23,bjhex1,6," Plodding military history and a lifeless 'passionate' romance
","I would have to say that this film might be best for people who know nothing about Napoleon. Not for the liberties it takes (and those are myriad in the film), but that it is so methodical in its presentation. Starting with the narrative subtitles, explaining in broad strokes the French Revolution and identifying major players, the audience is already being told not to overly worry about subtext. And it becomes clear early on, that the intention is not to humanize Napoleon, as much as de-mythologize him, to the extent of humiliation.",/review/rw9450470/?ref_=tt_urv
22-Jan-24,felipearielm,8," It's not what we asked for.
","The film is not the epic you are expecting, it's not a history lesson (thank God) and it's not as bad as you think. Of course, the film has a lot of problems, it's a little bit confusing and disorganized, the main characters are not deeply developed, so many of the premisses of the plot are not so convincing. Despite the feeling that it could have been better, watching Napoleon was far from being the bad experience many told me it would be. I wonder if this unusual aproache by Scott wasn't influenced by the bad box office from The Last Duel. Anyways, solid 8/10 in my opinion. I have a feeling the extended director's cut will be quite different and better film.",/review/rw9450470/?ref_=tt_urv
6-Dec-23,rallymarc,6," A Disappointment
",I just watched this on the big screen and have to say that the only merit to it is the way Scott handles the battle scenes. The first campaign in Russia is breathtaking as is Waterloo.,/review/rw9450470/?ref_=tt_urv
23-Nov-23,heisenberg12,5," 2 Hours Wasted on Josephine
","The title says it all. When anyone thinks about Napolean, they automatically think of the general, the egomaniacal conquerer, military genius who glorified and unified France after the French Revolution.",/review/rw9450470/?ref_=tt_urv
24-Nov-23,RightOnDaddio,9," Who Knew There Were This Many French History Scholars and Napoleon Devotees Here Writing Movie Reviews? I Know Not As Much But I Know This Napoleon is Dyn-O-Mite!
","Okay, so maaaybe this film isn't a documentary. Maybe it's not one hundred percent on the factual side.",/review/rw9450470/?ref_=tt_urv
1-Feb-24,jaredmarkherbert,7," Ridley Scott's Napoleon: An Epic yet Unsatisfactorily Incomplete Biography of the Legendary Leader
","An arguably good attempt at displaying the imperialistic ambitions and militaristic prowess that is Napoleon Bonaparte. However, despite the depiction of fantastic battle scenes, the film tends to jump around a bit and is not effectively woven together as to bring Napoleon's entire narrative into one seamless, cohesive piece for the audience. There are also many relevant historical facts missing from the film, including some large and other minute details that could have easily been sprinkled in. This in spite of the movie being roughly 2 hours & 40 minutes long. As a counterpoint, Director Ridley Scott never claimed to make the movie completely historically factual; and the film is debatably more historically anchored than a lot of other films which claim to be ""based on true events"".",/review/rw9450470/?ref_=tt_urv
22-Nov-23,rachelnstephens,4," Snapshots of Napoleon's life
","If I knew nothing of Napoleon, I'd be utterly confused about what was happening in this film. There is no hero's journey to follow and nobody to root for.",/review/rw9450470/?ref_=tt_urv
11-Dec-23,ciaransweeney-25817,7," The reviews here are very harsh
","I have just arrived home from the cinema from seeing this film. I was worried I was not going to enjoy it after reading some of the reviews on here, but I must say I really enjoyed the film.",/review/rw9450470/?ref_=tt_urv
28-Nov-23,Rms88,6," Not What I Expected!
","I was somewhat disappointed in Ridley Scott's movie as it was not what I expected. The movie dragged for the first hour. It didn't focus much on historical and political details. It also lacked much fighting in the battlefield, especially not displaying Napoleon's tactical and genius strategy. His rise and fall lacked the specifics in a lightning fashion. In addition, it didn't seem historically accurate as it also didn't concentrate on his mistakes such as the Continental System and the outrage of the French people after crowning himself King. The French Revolution was about overthrowing a monarch, yet he crowns himself king. The entire movie focused on his beloved wife, Josephine. It was more of a love story.",/review/rw9450470/?ref_=tt_urv
23-Mar-24,bnrztyxsz,," A joke for a joker.
","The production should have budgeted few bucks to seek help from a Napoleonic era expert, thus to avoid the succession of historical inaccuracies.",/review/rw9450470/?ref_=tt_urv
25-Nov-23,andrei1981-1,6," Ridley Scott is such a trickster
","Ridley Scott has tricked me. I really thought I was going to watch a movie about Napoleon. But two hours into it I realized I'm actually watching a movie about the English. Scott made short shrift of Napoleon's victories and spent 40 minutes on Waterloo. One of the greatest tactical minds in history and the man who terrorized the whole of Europe is reduced here to a grotesque caricature. Phoenix, otherwise an excellent actor, lacks charisma as Napoleon and the two protagonists (Napoleon and Josephine) have zero chemistry. Given the hype created around it, I consider the movie a flop. Scott has fallen knee deep into the trap of artistic hubris, as he arrogantly believes he's entitled to remake and reshape historical figures with impunity. If he wants full freedom, there's always fiction, an endless reservoir of stories, but when you're bringing to the screen one of the most (in)famous characters in history, more reverence is needed. Scott's iconoclastic bravado is now being punished by the public. It makes me very nervous to think that he's working on a new Gladiator. That's truly bad news.",/review/rw9450470/?ref_=tt_urv
29-Nov-23,UniqueParticle,7," Very enjoyable
","This is an extraordinary film. Sure it's got flaws, but to me, the only one is it is a bit boring at times otherwise so damn good! Stupendous Imax for sound and beautiful scenery. I'm not entirely sure why this got some hate - it's a great movie especially Joaquin's performance and holy cow Vanessa Shaw is stunning - she was a great addition to everything! The war bits were excellent, the set design/clothes were all impressive, some of it was goofy which was unexpected, and the acting alone deserves recognition. I think it's cute how plenty of old folks go to see this I'm 31 though I enjoyed a lot of the movie my only problem is it was a little slow at times.",/review/rw9450470/?ref_=tt_urv
23-Nov-23,dannytoldyaso,10," Being reviewed bombed by Ms Marvel fans.
","The Ms Marvle fans out here really mad at this movie. Telling people not to go see it on thanksgiving as a family film even for older adults. They are creepy and wierd asf. Don't even get me started on Zegler trolls in here review bombing as well cause they are just unlikable as she is. Well let's get to the core of the film this is a masterpiece! The practical effects in this are soooo good this helps cleanse the pallet after decades of green screen super hero's! We have a refreshing new look in to Napoleon! Joaquin Phoenix doesn't win an Oscar again or at least get a nod from the guild then the Oscar's are truly dead, well when you pick Jimmy Kimmel to be the front man then you know they are dead. Anyways this is masterpiece! Go watch it! Sorry I got sidetracked in this review!",/review/rw9450470/?ref_=tt_urv
8-Dec-23,DanLawson146,7," More battlefield, less bedroom please
",POSITIVES:,/review/rw9450470/?ref_=tt_urv
